Symbol,Volatility,TrendStrength,Noise,MA_Type,MA_Pair,Return,WinRate,Sharpe,MaxDD,Trades
UPL.NS,2.29,10.48,58.98,EMA,10/20,2.97,100.0,0.0,-14.11,1
UTIAMC.NS,1.56,8.85,65.4,EMA,10/20,0.0,0.0,-4.7,-22.85,0
ULTRACEMCO.NS,1.0,3.97,75.34,SMA,12/26,1.0,100.0,-0.18,-8.3,1
UNIONBANK.NS,2.28,14.4,54.02,EMA,10/20,2.36,100.0,2.64,-5.27,2
UBL.NS,0.98,10.51,33.93,EMA,10/20,0.0,0.0,-5.38,-21.2,0
UNITDSPR.NS,1.15,8.45,54.52,EMA,12/26,4.57,100.0,-0.66,-9.65,1
USHAMART.NS,1.51,10.49,60.77,EMA,20/50,0.29,50.0,-1.64,-14.28,2
VGUARD.NS,1.37,6.52,68.34,EMA,10/20,0.0,0.0,-3.16,-20.83,0
DBREALTY.NS,1.94,16.97,50.93,EMA,10/20,-3.59,0.0,-4.16,-35.61,1
VTL.NS,1.22,9.27,49.76,EMA,10/20,1.28,100.0,-0.05,-13.29,1
VBL.NS,1.32,0.07,99.64,SMA,20/50,0.0,0.0,0.68,-9.96,0
MANYAVAR.NS,1.2,16.42,28.11,EMA,10/20,0.0,0.0,-5.92,-30.05,0
VEDL.NS,1.86,13.12,49.33,EMA,10/20,0.0,0.0,5.25,-6.5,0
VENTIVE.NS,1.72,2.4,90.69,SMA,10/20,0.95,50.0,-1.08,-8.9,2
VIJAYA.NS,1.35,2.84,88.02,SMA,20/50,0.0,0.0,-0.06,-10.72,0
VMM.NS,1.07,10.5,39.16,EMA,12/26,0.0,0.0,-3.43,-17.45,0
IDEA.NS,3.53,15.81,65.13,EMA,10/20,0.0,0.0,1.1,-16.09,0
VOLTAS.NS,2.03,7.46,74.94,EMA,50/200,0.0,0.0,-1.61,-14.39,0
WAAREEENER.NS,1.77,21.47,32.09,EMA,10/20,0.0,0.0,-4.86,-32.53,0
WELCORP.NS,2.5,7.46,78.33,SMA,10/20,0.0,0.0,-1.35,-23.7,0
WELSPUNLIV.NS,2.13,13.15,60.67,EMA,12/26,0.0,0.0,-0.18,-24.07,0
WHIRLPOOL.NS,1.4,14.76,40.52,EMA,50/200,0.0,0.0,-6.05,-44.78,0
WIPRO.NS,2.28,10.64,61.99,EMA,10/20,0.14,100.0,0.07,-12.15,1
WOCKPHARMA.NS,2.43,6.15,83.25,SMA,12/26,0.0,0.0,0.13,-12.65,0
YESBANK.NS,2.05,0.14,99.51,SMA,50/200,0.0,0.0,-0.68,-7.83,0
ZFCVINDIA.NS,1.33,6.95,66.45,EMA,10/20,2.45,100.0,0.78,-11.75,1
ZEEL.NS,1.41,11.15,45.63,EMA,10/20,0.0,0.0,-3.86,-22.85,0
ZENTEC.NS,2.38,5.79,81.35,SMA,12/26,0.0,0.0,-0.67,-15.27,0
ZENSARTECH.NS,1.27,5.58,71.87,EMA,12/26,0.0,0.0,-1.59,-14.12,0
ZYDUSLIFE.NS,1.04,4.53,71.64,EMA,10/20,0.0,0.0,-3.31,-14.38,0
ECLERX.NS,2.15,12.25,62.81,EMA,12/26,0.13,66.67,-0.43,-14.5,3
