Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA_Fast,MA_Slow,Signal,Crossover
2025-08-29 00:00:00+05:30,1265.0999755859375,1273.800048828125,1245.0999755859375,1251.800048828125,321491,0.0,0.0,1301.1085884180886,1322.960293954928,-1,0.0
2025-09-01 00:00:00+05:30,1264.0,1270.0,1254.0,1264.800048828125,107023,0.0,0.0,1294.5070357653678,1317.4212229904704,-1,0.0
2025-09-02 00:00:00+05:30,1274.0,1283.5,1258.0999755859375,1276.300048828125,354527,0.0,0.0,1291.1966745040509,1313.5049206892947,-1,0.0
2025-09-03 00:00:00+05:30,1282.9000244140625,1322.5,1279.199951171875,1284.9000244140625,455067,0.0,0.0,1290.0518290331438,1310.7806448535582,-1,0.0
2025-09-04 00:00:00+05:30,1300.300048828125,1334.4000244140625,1280.300048828125,1287.5999755859375,631510,0.0,0.0,1289.606037497288,1308.572962066166,-1,0.0
2025-09-05 00:00:00+05:30,1294.9000244140625,1296.699951171875,1268.300048828125,1281.4000244140625,195559,0.0,0.0,1288.1140351185197,1305.985063242156,-1,0.0
2025-09-08 00:00:00+05:30,1288.5,1290.5,1272.0,1276.800048828125,136891,0.0,0.0,1286.0569467020844,1303.2055380598674,-1,0.0
2025-09-09 00:00:00+05:30,1277.699951171875,1281.5999755859375,1262.0,1270.300048828125,104182,0.0,0.0,1283.1920561795462,1300.0716819425586,-1,0.0
2025-09-10 00:00:00+05:30,1282.199951171875,1293.5,1274.199951171875,1287.0,208940,0.0,0.0,1283.8844096014468,1298.8267598527912,-1,0.0
2025-09-11 00:00:00+05:30,1290.0,1307.5,1284.0,1301.300048828125,203279,0.0,0.0,1287.0508894608429,1299.0623111837754,-1,0.0
2025-09-12 00:00:00+05:30,1302.0,1307.699951171875,1294.800048828125,1302.699951171875,161935,0.0,0.0,1289.8961734083032,1299.408753087404,-1,0.0
2025-09-15 00:00:00+05:30,1304.0,1306.800048828125,1292.0,1300.5,90359,0.0,0.0,1291.8241418795208,1299.5126813647942,-1,0.0
2025-09-16 00:00:00+05:30,1300.5,1368.0,1299.300048828125,1363.199951171875,1045933,0.0,0.0,1304.8015617508577,1305.5781356321352,-1,0.0
2025-09-17 00:00:00+05:30,1372.0,1378.0,1350.0,1361.5999755859375,284560,0.0,0.0,1315.1285460845086,1310.9135489610687,1,2.0
2025-09-18 00:00:00+05:30,1361.699951171875,1374.4000244140625,1337.0,1341.199951171875,244584,0.0,0.0,1319.8688015549387,1313.7979682192408,1,0.0
2025-09-19 00:00:00+05:30,1344.9000244140625,1356.800048828125,1330.0,1344.699951171875,258801,0.0,0.0,1324.3835560307452,1316.7410142147298,1,0.0
2025-09-22 00:00:00+05:30,1349.9000244140625,1349.9000244140625,1303.699951171875,1306.4000244140625,241971,0.0,0.0,1321.1138230095303,1315.7561580432375,1,0.0
2025-09-23 00:00:00+05:30,1308.9000244140625,1329.5,1298.5999755859375,1308.199951171875,359892,0.0,0.0,1318.7658463117746,1315.036519293584,1,0.0
